ATS,COD_ENTE,DENOM_ENTE,COD_STRUTTURA,COD_SUB,DENOM_STRUTTURA,COD_TIPO_STR,DESCR_TIPO_STR,DATA_APERTURA,DATA_CHIUSURA,INDIRIZZO,CAP,LOCALITA,TELEFONO,FAX,LIV_EMERG,PS_PEDIATRICO
325,325,ATS DI BERGAMO,030384,00,C.R.C. MALATTIE RARE ALDO E CELE DACCO'-RANICA,52,CASA DI CURA ACCREDITATA NON A CONTRATTO,04/01/2009 12:00:00 AM,,"VIA CAMOZZI,3",24020,RANICA,03545351,0354535371,Senza livello emergenza,
321,706,ASST RHODENSE,030066,00,OSPEDALE G.SALVINI-GARBAGNATE MIL.SE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,VIALE FORLANINI 95,20024,GARBAGNATE MILANESE,02 994301,02994302578,DEA-PS,
322,710,ASST DEI SETTE LAGHI,030901,00,PRESIDIO OSPEDALIERO DI VARESE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995 12:00:00 AM,,VIALE LUIGI BORRI 57,21100,VARESE,0332278111,0332810703,EAS-PS-PPI,X
322,930,ISTITUTI CL. SCIENTIFICI MAUGERI SPA SB - TRADATE,030930,00,IRCCS CENTRO MEDICO TRADATE,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/1995 12:00:00 AM,,"VIA RONCACCIO, 16",21049,TRADATE,0331829111,0331829155,Senza livello emergenza,
327,726,ASST DI CREMA,030209,00,OSPEDALE MAGGIORE - CREMA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1969 12:00:00 AM,,"LARGO UGO DOSSENA, 2",26013,CREMA,03732801,0373280337,DEA-PS,
326,326,ATS DI BRESCIA,030368,00,C.TRO RIAB.E.SPALENZA-FOND.DON GNOCCHI,51,CASA DI CURA ACCREDITATA A CONTRATTO,10/01/2006 12:00:00 AM,,"VIA GOLGI, 1",25038,ROVATO,03072451,0307245350,Senza livello emergenza,
326,326,ATS DI BRESCIA,030408,00,CENTRO CLINICO NEMO,51,CASA DI CURA ACCREDITATA A CONTRATTO,09/23/2020 12:00:00 AM,,VIA RICHIEDEI 16,25064,GUSSAGO,0306729100,,Senza livello emergenza,
328,727,ASST DI PAVIA,030203,00,OSPEDALE ASILO VITTORIA - MORTARA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,STRADA PAVESE 1125,27036,MORTARA,03842041,0384204261,PPI,
327,327,ATS DELLA VAL PADANA,030218,00,CASA DI CURA S. CAMILLO - CREMONA,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/1995 12:00:00 AM,,"VIA MANTOVA, 113",26100,CREMONA,0372567111,0372433349,Senza livello emergenza,
322,322,ATS DELL'INSUBRIA,030030,00,OSPEDALE  VALDUCE,4,OSPEDALE CLASSIFICATO,01/01/1984 12:00:00 AM,,VIA DANTE ALIGHIERI 11,22100,COMO,031 324111,031308047,PS,X
322,322,ATS DELL'INSUBRIA,030397,00,CASA DI CURA LE TERRAZZE - CUNARDO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/2016 12:00:00 AM,,"VIA FOSCOLO, 6/B",21035,CUNARDO,0332992111,0332990074,Senza livello emergenza,
327,724,ASST DI CREMONA,030908,00,OSPEDALE DI CREMONA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995 12:00:00 AM,,VIA LARGO PRIORI 1,26100,CREMONA,0372405111,0372405552,DEA-PS,X
324,324,ATS DELLA BRIANZA,030033,00,CASA DI CURA BEATO L.TALAMONI-LECCO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/1984 12:00:00 AM,,VIA SAN NICOLO' 12,23900,LECCO,0341274111,0341284033,Senza livello emergenza,
322,710,ASST DEI SETTE LAGHI,030012,00,OSPEDALE CARLO ONDOLI - ANGERA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995 12:00:00 AM,,VIA BORDINI 9,21021,ANGERA,0331961292,0331931888,PS,
324,324,ATS DELLA BRIANZA,030107,00,ISTITUTI CLINICI ZUCCHI SPA-MONZA,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/1984 12:00:00 AM,,VIA ZUCCHI 24,20900,MONZA,039 83831,039364886,PS,
326,721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,030906,00,PRES.OSPEDAL.SPEDALI CIVILI BRESCIA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995 12:00:00 AM,,P.LE SPEDALI CIVILI 1,25123,BRESCIA,030 39951,0303996108,EAS-PS,
324,717,ASST DELLA BRIANZA,030070,00,PRESIDIO OSPEDALIERO DI CARATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,VIA MOSE' BIANCHI 9,20841,CARATE BRIANZA,03629841,039/6654568,PS,X
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030097,00,ISTITUTO CLINICO CITTA' STUDI - MILANO,51,CASA DI CURA ACCREDITATA A CONTRATTO,12/01/1945 12:00:00 AM,,VIA CATALANI 4 - SEDE LEGALE VIA AMPERE 47,20131,MILANO,02 23931,0223934093,DEA-PS,
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030112,00,IST.CLINICO S.AMBROGIO SPA-MILANO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/1984 12:00:00 AM,,VIA FARAVELLI 16,20149,MILANO,02  33127016,0233127040,PS,
324,716,ASST DI MONZA,030716,00,ASST DI MONZA,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIA PERGOLESI N. 33,20900,MONZA,0392331,,Senza livello emergenza,
321,946,ISTITUTO ORTOPEDICO GALEAZZI SPA,030946,00,ISTITUTO ORTOPEDICO GALEAZZI SPA - MILANO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/2007 12:00:00 AM,,"VIA RICCARDO GALEAZZI, 4",20161,MILANO,02662141,0266214806,PS,
326,326,ATS DI BRESCIA,030275,00,ISTITUTO CLINICO S. ROCCO S.P.A. - OME,51,CASA DI CURA ACCREDITATA A CONTRATTO,06/01/1994 12:00:00 AM,,"VIA DEI SABBIONI, 24",25050,OME,03068591,0306852395,DEA-PS,
323,713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,030904,00,OSPEDALE MORELLI - SONDALO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995 12:00:00 AM,,VIA ZUBIANI 33,23039,SONDALO,0342808111,0342808299,PS-PPI,X
321,943,"ISTITUTO CLINICO ""HUMANITAS""-ROZZANO",030943,00,IST. CLIN. HUMANITAS - ROZZANO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,07/01/2005 12:00:00 AM,,"VIA MANZONI, 56",20089,ROZZANO,02  82241,0282242397,EAS-PS,
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030113,00,CASA DI CURA LA MADONNINA - MILANO,52,CASA DI CURA ACCREDITATA NON A CONTRATTO,01/01/1958 12:00:00 AM,,VIA QUADRONNO 29,20122,MILANO,0258395660,0258395463,Senza livello emergenza,
321,922,ISTITUTO NAZIONALE DEI TUMORI- MI,030922,00,"FOND.IRCCS ""ISTIT.NAZ.LE TUMORI""MILANO",33,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - FONDAZIONE,01/01/1995 12:00:00 AM,,"VIA VENEZIAN, 1",20133,MILANO,02  23901,,Senza livello emergenza,
323,714,ASST DELLA VALCAMONICA,030274,02,OSPEDALE VALCAMONICA - EDOLO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1996 12:00:00 AM,,PIAZZA DONATORI DI SANGUE 1,25048,EDOLO,036472742,0364772540,PS,
323,713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,030045,00,OSPEDALE  MORBEGNO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,VIA MORELLI N.1,23017,MORBEGNO,0342607111,0342614070,PPI,
321,705,ASST OVEST MILANESE,030281,01,OSPEDALE CIVILE DI LEGNANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1997 12:00:00 AM,,VIA PAPA GIOVANNI PAOLO II,20025,LEGNANO,0331449883,0331449970,EAS-PS,
328,940,ISTITUTI CL SCIENTIFICI MAUGERI SPA SB - MONTESCANO,030940,00,IRCCS CENTRO MEDICO MONTESCANO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/1995 12:00:00 AM,,VIA PER MONTESCANO  31,27040,MONTESCANO,03852471,038561386,Senza livello emergenza,
328,727,ASST DI PAVIA,030194,00,OSPEDALE CIVILE - VOGHERA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1988 12:00:00 AM,,VIA VOLTURNO 14,27058,VOGHERA,03836951,0383695988,DEA-PS,
324,716,ASST DI MONZA,030068,00,PRESIDIO OSPEDALIERO DI DESIO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,VIA MAZZINI 1,20832,DESIO,03623831,0362383218,DEA-PS,X
321,936,IST.AUXOLOGICO ITALIANO,030936,02,IST.AUXOLOGICO ITAL.-I.S. S.MICHELE-MILANO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/1995 12:00:00 AM,,VIA LUDOVICO ARIOSTO 13,20145,MILANO,02619112448,02619112204,Senza livello emergenza,
321,703,ASST FATEBENEFRATELLI SACCO,030910,00,OSPEDALE FATEBENEFRATELLI E OFTALMICO - MILANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995 12:00:00 AM,,"PIAZZA PRINCIPESSA CLOTILDE, 3",20121,MILANO,02636312274,0263632309,DEA-PS,X
326,326,ATS DI BRESCIA,030177,00,CASA DI CURA VILLA GEMMA-GARDONE RIV,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/1984 12:00:00 AM,,VIA ZANARDELLI 101,25083,GARDONE RIVIERA,0365298000,0365290079,Senza livello emergenza,
324,715,ASST DI LECCO,030024,00,OSPEDALE DI CIRCOLO S.L.MANDIC-MERATE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1995 12:00:00 AM,,LARGO SAN LEOPOLDO MANDIC 1,23807,MERATE,039 59161,039/5916365,DEA-PS,
322,710,ASST DEI SETTE LAGHI,030901,02,OSPEDALE F. DEL PONTE - VARESE,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2015 12:00:00 AM,,"VIA FILIPPO DEL PONTE, 19",21100,VARESE,0332299111,0332299406,PS-PPI,X
324,324,ATS DELLA BRIANZA,030381,00,FOND. MB PER IL BAMBINO E LA SUA MAMMA - MONZA,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/2009 12:00:00 AM,,"VIA PERGOLESI,33",20900,MONZA,0392332164,0392332164,Senza livello emergenza,
327,327,ATS DELLA VAL PADANA,030259,00,CASA DI CURA S. CLEMENTE - MANTOVA,51,CASA DI CURA ACCREDITATA A CONTRATTO,02/01/1994 12:00:00 AM,,V.LE POMPILIO 65,46100,MANTOVA,03762071,0376207404,Senza livello emergenza,
322,322,ATS DELL'INSUBRIA,030032,00,IST.CLINICO VILLA APRICA SPA-COMO,51,CASA DI CURA ACCREDITATA A CONTRATTO,10/01/1931 12:00:00 AM,,VIA CASTELCARNASINO 10,22100,COMO,031 579411,031572409,Senza livello emergenza,
321,706,ASST RHODENSE,030706,00,ASST RHODENSE,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIALE FORLANINI N. 95,20024,GARBAGNATE MILANESE,02994301,,Senza livello emergenza,
327,725,ASST DI MANTOVA,030239,00,OSP.CIVILE DESTRA SECCHIA-PIEVE CORIANO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1996 12:00:00 AM,,"VIA BUGATTE, 1",46020,BORGO MANTOVANO,0386717200,0386/717409,DEA-PS,
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030124,00,ISTITUTO STOMATOLOGICO ITALIANO - MILANO,51,CASA DI CURA ACCREDITATA A CONTRATTO,09/01/1974 12:00:00 AM,,VIA PACE 21,20122,MILANO,02 541761,02 5513071,Senza livello emergenza,
325,325,ATS DI BERGAMO,030149,00,ISTITUTO CLINICO QUARENGHI SRL,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/1995 12:00:00 AM,,VIA SAN CARLO 70,24016,SAN PELLEGRINO TERME,034525111,034523158,Senza livello emergenza,
326,326,ATS DI BRESCIA,030294,00,CASA DI CURA  DOMUS SALUTIS - BRESCIA,51,CASA DI CURA ACCREDITATA A CONTRATTO,10/01/1997 12:00:00 AM,,VIA LAZZARETTO N. 3,25123,BRESCIA,03037091,0303709403,Senza livello emergenza,
324,324,ATS DELLA BRIANZA,030108,00,CASA DI CURA ZUCCHI - CARATE BRIANZA,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/1984 12:00:00 AM,,PIAZZA MADONNINA N.1,20841,CARATE BRIANZA,0362 9861,0362 991438,Senza livello emergenza,
322,322,ATS DELL'INSUBRIA,030372,00,SINLAB ITALIA S.R.L. - COMO,52,CASA DI CURA ACCREDITATA NON A CONTRATTO,10/01/2007 12:00:00 AM,,"VIALE INNOCENZO XI, 70",22100,COMO,03127641995,03127641999,Senza livello emergenza,
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030100,00,CASA DI CURA IGEA - MILANO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/1984 12:00:00 AM,,VIA MARCONA 69,20129,MILANO,02701421,027385061,Senza livello emergenza,
322,712,ASST LARIANA,030022,00,OSPEDALE S. ANTONIO ABATE - CANTU',12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,VIA DOMEA 4,22063,CANTU',031 799111,031 799479,PS,
322,710,ASST DEI SETTE LAGHI,030710,00,ASST DEI SETTE LAGHI,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIALE BORRI N. 57,21100,VARESE,0332278111,,PS,X
327,933,ISTITUTI CL. SCIENTIFICI MAUGERI SPA SB CASTEL GOFFREDO,030933,00,IRCCS CENTRO MEDICO DI CASTEL GOFFREDO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/1995 12:00:00 AM,,"VIA OSPEDALE, 36",46042,CASTEL GOFFREDO,037677471,0376779886,Senza livello emergenza,
326,723,ASST DEL GARDA,030183,00,OSPEDALE VILLA DEI COLLI DI LONATO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1988 12:00:00 AM,,VIA SAN CARLO 18  TRASF TEMPORANEO C/O PREVALLE (EX VIA ARRIGA ALTA),25080,LONATO DEL GARDA,030 9139411,0309145447,Senza livello emergenza,
326,722,ASST DELLA FRANCIACORTA,030722,00,ASST DELLA FRANCIACORTA,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIALE MAZZINI N. 4,25032,CHIARI,0307102,,Senza livello emergenza,
324,324,ATS DELLA BRIANZA,030034,00,CASA DI CURA G.B. MANGIONI - LECCO,51,CASA DI CURA ACCREDITATA A CONTRATTO,12/01/1951 12:00:00 AM,,VIA LEONARDO DA VINCI 49,23900,LECCO,0341478258,0341285087,Senza livello emergenza,
321,946,ISTITUTO ORTOPEDICO GALEAZZI SPA,030946,02,IST.CLINICO S.SIRO SPA-MILANO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/2020 12:00:00 AM,,VIA MONREALE 18,20148,MILANO,02487851,0248785233,Senza livello emergenza,
321,947,IST.POLICL.S.DONATO SPA-S.DONATO M.,030947,00,I.R.C.C.S. POLICLINICO SAN DONATO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/2007 12:00:00 AM,,"VIA MORANDI, 30",20097,SAN DONATO MILANESE,02  527741,025774717,DEA-PS,
325,325,ATS DI BERGAMO,030144,00,CASA DI CURA BEATO PALAZZOLO - BERGAMO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/1934 12:00:00 AM,,VIA S.BERNARDINO 56,24122,BERGAMO,035 389111,035 223238,Senza livello emergenza,
324,717,ASST DELLA BRIANZA,030082,00,P.O. TRABATTONI RONZONI DI SEREGNO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,VIA VERDI 2,20831,SEREGNO,03623854,0396654568,Senza livello emergenza,
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030125,00,CASA DI CURA AMBROSIANA SPA-CESANO B.,51,CASA DI CURA ACCREDITATA A CONTRATTO,04/01/1967 12:00:00 AM,,PIAZZA MONS. MONETA 1,20090,CESANO BOSCONE,02 458761,024500706,Senza livello emergenza,
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030103,00,CASA DI CURA PALAZZOLO-FOND.DON GNOCCHI,51,CASA DI CURA ACCREDITATA A CONTRATTO,04/01/1970 12:00:00 AM,,VIA DON L. PALAZZOLO 21,20149,MILANO,0239701,0239210325,Senza livello emergenza,
326,723,ASST DEL GARDA,030161,00,PRESIDIO OSPEDALIERO DI SALO',12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1988 12:00:00 AM,,PIAZZA BRESCIANI 5,25087,SALO',03652971,0309145447,Senza livello emergenza,
323,713,ASST DELLA VALTELLINA E DELL'ALTO LARIO,030713,00,ASST DELLA VALTELLINA E DELL'ALTO LARIO,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIA STELVIO N. 25,23100,SONDRIO,0342521111,0342521951,Senza livello emergenza,
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030363,00,RESIDENZA ANNI AZZURRI MIRASOLE - OPERA,51,CASA DI CURA ACCREDITATA A CONTRATTO,12/01/2005 12:00:00 AM,,"VIA P. BORSELLINO, 6 - LOC. NOVERASCO",20090,OPERA,02 576911,0257607098,Senza livello emergenza,
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030096,00,CASA DI CURA DEL POLICLINICO - MILANO,51,CASA DI CURA ACCREDITATA A CONTRATTO,05/01/1992 12:00:00 AM,,VIA G. DEZZA 48,20144,MILANO,02  485931,0248593519,Senza livello emergenza,
327,725,ASST DI MANTOVA,030227,01,PRESIDIO OSPEDALIERO - ASOLA,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/2014 12:00:00 AM,,"PIAZZA 80° FANTERIA, 1",46041,ASOLA,03767211,0376720189,PS,
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030101,00,CASA DI CURA VILLA LETIZIA - MILANO,52,CASA DI CURA ACCREDITATA NON A CONTRATTO,11/01/1977 12:00:00 AM,,"VIA G.DONIZETTI, 10/12",20122,MILANO,02 76002077,0276013115,Senza livello emergenza,
328,727,ASST DI PAVIA,030192,00,OSPEDALE SS.ANNUNZIATA - VARZI,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1988 12:00:00 AM,,VIA REPETTI  2,27057,VARZI,03835471,0383547306,PS,
321,923,ISTITUTO NEUROLOGICO BESTA - MI,030923,00,FOND.IRCCS IST.NAZ.NEUROLOGICO C.BESTA-MILANO,33,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - FONDAZIONE,01/01/1995 12:00:00 AM,,VIA CELORIA 11,20133,MILANO,0223941,0270638217,Senza livello emergenza,
325,325,ATS DI BERGAMO,030148,00,POLICLINICO SAN PIETRO  - PONTE S. PIETRO,51,CASA DI CURA ACCREDITATA A CONTRATTO,01/01/1984 12:00:00 AM,,"VIA FORLANINI, 15",24036,PONTE SAN PIETRO,035 604111,035 604420,DEA-PS,X
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030367,00,OSPEDALE S. GIUSEPPE - MILANO,4,OSPEDALE CLASSIFICATO,08/01/2006 12:00:00 AM,,VIA S. VITTORE 12,15146,MILANO,0285994869,0285994800,PS,
322,711,ASST DELLA VALLE OLONA,030009,00,OSPEDALE A.BELLINI - SOMMA LOMBARDO,12,OSPEDALE A GESTIONE DIRETTA PRESIDIO DELLA AO,01/01/1984 12:00:00 AM,,VIA BELLINI 29,21019,SOMMA LOMBARDO,0331751804,0331751810,PPI,
323,714,ASST DELLA VALCAMONICA,030714,00,ASST DELLA VALCAMONICA,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIA NISSOLINA N. 2,25043,BRENO,03643291,0364329310,Senza livello emergenza,
321,321,ATS DELLA CITTA' METROPOLITANA DI MILANO,030266,00,CASA DI CURA COLUMBUS - MILANO,52,CASA DI CURA ACCREDITATA NON A CONTRATTO,01/01/1984 12:00:00 AM,,VIA BUONARROTI 48,20145,MILANO,02480801,0248080635,Senza livello emergenza,
321,948,CASA DI CURA MULTIMEDICA  S.P.A. SPA-SESTO S.G.,030948,00,IRCCS MULTIMEDICA - MILANO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/2007 12:00:00 AM,,"VIA MILANESE, 300",20099,SESTO SAN GIOVANNI,02  24209268,02 22476125,DEA-PS,
326,721,ASST DEGLI SPEDALI CIVILI DI BRESCIA,030721,00,ASST DEGLI SPEDALI CIVILI DI BRESCIA,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,PIAZZALE SPEDALI CIVILI N. 1,25123,BRESCIA,0303996515,0303996108,Senza livello emergenza,
322,322,ATS DELL'INSUBRIA,030015,00,CASA DI CURA SANTA MARIA - CASTELLANZA,51,CASA DI CURA ACCREDITATA A CONTRATTO,04/01/1997 12:00:00 AM,,"VIALE PIEMONTE, 70",21053,CASTELLANZA,0331393111,0331630990,Senza livello emergenza,
327,724,ASST DI CREMONA,030724,00,ASST DI CREMONA,0,AZIENDA OSPEDALIERA,01/01/2016 12:00:00 AM,,VIALE CONCORDIA N. 1,26100,CREMONA,0372405205,0372431975,Senza livello emergenza,
321,941,ISTITUTO EUROPEO DI ONCOLOGIA,030941,00,ISTITUTO EUROPEO DI ONCOLOGIA-MILANO,32,ISTITUTO DI RICOVERO E CURA A CARATTERE SCIENTIFICO - PRIVATO,01/01/1995 12:00:00 AM,,"VIA RIPAMONTI, 435",20141,MILANO,02  57489281,,Senza livello emergenza,
